Date,Sales,date,,,,,,,,,,,,
Ds Course,400,01-01-2023,,,,,,,,,,,,
Ai Course,200,02-01-2023,,,,,,,,,,,,
Web Course,100,03-01-2023,,,,,,,,,,,,
Finance Course,500,04-01-2023,,,,,,,,,,,,
Editing Course,300,05-01-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
